@T,table
Created,2016-04-21 18:21
Author,HortonMachine library
@H,timestamp,value_16,value_19,value_18,value_8,value_10,value_11,value_12,value_13
ID,,16,19,18,8,10,11,12,13
Type,Date,Double,Double,Double,Double,Double,Double,Double,Double
Format,yyyy-MM-dd HH:mm,,,,,,,,
,1994-01-01 00:00,0.5362309636731792,0.4377920001543846,0.44135949670184477,0.22659726903697544,0.4424814007229926,0.4406678433246958,0.43844721312486057,0.42102129822962603
,1994-01-01 01:00,1.5383881679531075,1.1561486416592759,1.1626742590423709,0.6083785202739078,1.162786613918704,1.1599969880245413,1.1557641235335758,1.1387576045326833
,1994-01-01 02:00,3.993401264403546,2.9320806206203263,2.9386770411488468,1.4557580297475836,2.9387567155006376,2.9359188230214697,2.9315932192551295,2.9305201395051346
,1994-01-01 03:00,5.716700192237895,4.2375914856766475,4.24424323890634,2.0785545167172255,4.2442960441246855,4.2414285734282835,4.237043691952602,4.243387244782842
,1994-01-01 04:00,9.68361894427775,7.4214359300930655,7.4282162595077645,4.573524779285767,7.428274377925497,7.425324180440557,7.420808777441496,7.439230699191392
,1994-01-01 05:00,13.648590647890277,11.49055250274403,11.497492002969736,8.803827545245746,11.497549223020457,11.49449319888962,11.489773179156472,11.505400919938667
,1994-01-01 06:00,15.838194969080561,14.305612030047818,14.31262109152746,12.223487448360633,14.312682376942439,14.309560068732345,14.304710731815868,14.328693824333481
,1994-01-01 07:00,17.765859822797367,16.649729999633184,16.656973077480615,15.410968981955868,16.65706000258118,16.653842500590784,16.648867871751555,16.67176392761652
,1994-01-01 08:00,20.995565416413587,20.347603247421663,20.3553493111837,19.781161464555005,20.355463490033973,20.351987128686748,20.346598540998457,20.374600578664115
,1994-01-01 09:00,22.19293617803052,21.909067493953344,21.91705107921887,21.829473315565394,21.91717212004978,21.913553979992656,21.907910442188577,21.938298044852765
,1994-01-01 10:00,22.19293617803052,22.168420004248667,22.176488966490908,22.494646082281033,22.17659989178867,22.172945707410342,22.16722854016806,22.191774350450547
,1994-01-01 11:00,22.24452869602847,22.529424415955454,22.537640720625724,23.41750098017993,22.537644428607955,22.533944638201607,22.528084409165388,22.544420729596254
,1994-01-01 12:00,22.294696407223146,22.981045188964007,22.989109420801224,24.47776187742273,22.98919026267921,22.985517200294954,22.97970751060533,22.98655031038028
,1994-01-01 13:00,22.294696407223146,23.381149707536295,23.389246525910234,25.5097742236699,23.3893497943395,23.385663351455406,23.379837208909663,23.378011489014845
,1994-01-01 14:00,22.294696407223146,23.83585667861047,23.84302025258521,26.699717573457303,23.842839244666482,23.839589537376877,23.83420636180921,23.8256014010201
,1994-01-01 15:00,22.344932342252505,24.087766173627042,24.094347367143413,27.252039469163456,24.09403160626263,24.09104529378841,24.085948882649234,24.07356103696502
,1994-01-01 16:00,22.34493234225251,24.087766173627042,24.09434736714341,27.25203946916346,24.09403160626263,24.09104529378841,24.085948882649237,24.07356103696502
